Nama CCTV,Jalan,Kelurahan,Kecamatan,Dinas,Hari,Jam,Jam Obervasi,Anomali,Anomali Kategori,KodeSurveyor,File Video CCTV
CCTV ANTAPANI-DEPAN BORMA 02,Jl. Terusan Jakarta,Cicaheum,Antapani,DISKOMINFO,Kamis,12:00,12:41 - 12:51,-,Tidak Beranomali,140810230040,PELINDUNG - PEMANTAUAN LINGKUNGAN KOTA BANDUNG - Antapani.mp4
TAMAN PASUPATI_01,Jl. Tamansari No.66,Lb. Siliwangi,Coblong,DPKP3,Kamis,12:00,12:50 - 01:00,"aman, tapi menghadap ke kolong jembatan",Visual Kurang Jelas,140810230040,PELINDUNG - PEMANTAUAN LINGKUNGAN KOTA BANDUNG - Pasupati.mp4
CCTV CIHAMPELAS-SKYWALK 07,Jl. Cihampelas,Cipaganti,Coblog,DISKOMINFO,Kamis,12:00,12:30-12-40,buffering,Tidak Berfungsi,140810230041,CCTV Cihampelas Skywalk 07.mp4
CCTV CIMINDI-SUKARAJA_02,gang haji juariah/Jl. gunung batu,karangmerah,cimahi tengah,DISKOMINFO,Kamis,12:00,12:46-12:56,cctv buram,Visual Kurang Jelas,140810230041,SUKARAJA-02.mp4
CCTV JALAPRANG 01,Jl. Jalaprang,Sukaluyu,Cibeunying Kaler,DISKOMINFO,Kamis,12:00,12:46 - 12:56,,Tidak Beranomali,140810230041,Surapati-Jalapang.mp4
TAMAN TONGKENG_02,Jl. Tongkeng,Merdeka,Sumur Bandung,DPKP3,Kamis,12:00,12:11 - 12:21,buffering,Tidak Berfungsi,140810230041,TAMAN TONGKENG_02.mp4
CCTV KEBON KAWUNG - PASKAL 02,Jl. Kesatriaan No.1,Arjuna,Cicendo,DISKOMINFO,Kamis,12:00,12:30 - 12:40,buffering,Tidak Berfungsi,140810230041,CCTV CICENDO - KEBON KAWUNG 03.mp4
CCTV DEPAN TERMINAL CICAHEUM 01,Jl. A. Yani,Pasirlayung,Kiaracondong,DISKOMINFO,Kamis,12:00,12:46 - 12:56,,Tidak Beranomali,140810230041,Dpn Terminal Cicaheum.mp4
CCTV PHH MUSTOFA-AMPERA 02,Jl. Penghulu Haji Hasan Mustopa,Neglasari,Cibeunying Kaler,DISKOMINFO,Kamis,12:00,12:46 - 12:56,,Tidak Beranomali,140810230041,phh mustofa-ampera 02.mp4
CCTV DEPAN PENDOPO 02,Jl. Asia Afrika,Balong Gede,Regol,DISKOMINFO,Kamis,12:00,12:46 - 12:56,,Tidak Beranomali,140810230041,Depan pendopo 02.mp4
CCTV GEDEBAGE_01,Jl Gedebage Selatan,Cisaranten Kidul,Gedebage,DISKOMINFO,Kamis,12:00,12:30 -12:40,buffering,Tidak Berfungsi,140810230041,CCTV Cihampelas Skywalk 07.mp4
CCTV CICENDO - KB KAWUNG 03,Jl. Aceh,Babakan Ciamis,Sumur Bandung,DISKOMINFO,Kamis,12:00,12:11 - 12:21,buffering,Tidak Berfungsi,140810230041,CCTV CICENDO - KEBON KAWUNG 03.mp4
CCTV SETIABUDI DEPAN TERMINAL LEDENG 02,Jl. Dokter Setiabudi,Ledeng,Cidadap,DISKOMINFO,Kamis,13:00,13.00 - 13.10,buffering,Tidak Berfungsi,140810230042,SETIABUDI DEPAN TERMINAL LEDENG 02-KAMIS-1300.mp4
CCTV DIPATIUKUR UNPAD 01,Jl Tubagus Ismail Dalam,Lebakgede,Coblong,DISKOMINFO,Kamis,13:00,13.00 - 13.10,-,Tidak Beranomali,140810230042,DIPATIUKUR UNPAD 01-KAMIS-1300.mp4
CCTV ACEH-WASTUKENCANA,Jl. Wastukencana,Taman Sari,Bandung Wetan,DISKOMINFO,Kamis,13:00,13.14 - 13.25,-,Tidak Beranomali,140810230042,ACEH WASTUKENCANA-KAMIS-1300.mp4
CCTV PEREMPATAN LASWI-GATSU 02,Jl. Gatot Subroto,Samoja,Batununggal,DISKOMINFO,Kamis,13:00,13.14 - 13.25,-,Tidak Beranomali,140810230042,PEREMPATAN LASWI GATSU-KAMIS-1300.mp4
CCTV PAGARSIH 01,Jl. Pagarsih Barat,Cibadak,Astanaanyar,DISKOMINFO,Kamis,13:00,13.27 - 13- 38,buffering,Tidak Berfungsi,140810230042,PAGARSIH1-KAMIS-1300.mp4
CCTV CICADAS - CIKUTRA 01,Jl. Jenderal Ahmad Yani,Cikutra,Cibeunying Kidul,DISKOMINFO,Kamis,13:00,13.27 - 13- 38,-,Tidak Beranomali,140810230042,CICADAS CIKUTRA 01-KAMIS-1300.mp4
CCTV JL. TURANGGA 01,Jl. Turangga,Lkr. Sel,Lengkong,DISKOMINFO,Kamis,13:00,13.40 - 13.50,setengah cctv terhalang pohon,Terhalang Objek,140810230042,JL TURANGGA 01-KAMIS-1300.mp4
CCTV JL. TURANGGA 02,Jl. Bbk Halteu Cibangkong,Lkr. Sel,Lengkong,DISKOMINFO,Kamis,13:00,13.40 - 13.50,setengah cctv terhalang pohon,Terhalang Objek,140810230042,JL TURANGGA 02-KAMIS-1300.mp4
CCTV PERINTIS KEMERDEKAAN 01,Jl. Perintis Kemerdekaan,Babakan Ciamis,Sumur Bandung,DISKOMINFO,Kamis,13:00,13.54 - 14.06,-,Tidak Beranomali,140810230042,PERINTIS KEMERDEKAAN 01-KAMIS-1300.mp4
CCTV CIHAMPELAS-SKYWALK 03,Jl. Cihampelas,Cipaganti,Coblong,DISKOMINFO,Kamis,14:00,14.25 - 14.35,-,Tidak Beranomali,140810230042,CIHAMPELAS-SKYWALK 03-KAMIS-1400.mp4
CCTV SUKAJADI SUKAGALIH 01,Jl. Sukagalih,Cipedes,Ujung Berung,DISKOMINFO,Kamis,14:00,14.14 - 14.24,CCTV Error Di Akhir,Tidak Berfungsi,140810230043,CCTV SUKAJADI SUKAGALIH 01.mov
CCTV DAGO 2-SMA 1 02,Jl. insinyur haji djuanda kartawidjaya,lebak siliwangi,coblong,DISKOMINFO,Kamis,14:00,14.23 - 14.34,-,Tidak Beranomali,140810230043,CCTV DAGO 2-SMA 1 02.mp4
CCTV PHH MUSTOFA POM-BENSIN PARK HOTEL 01,Jl. Penghulu Haji Hasan Mustopa,Neglasari,Cibeunying Kaler,DISKOMINFO,Kamis,14:00,14.29 - 14.40,-,Tidak Beranomali,140810230043,CCTV PHH MUSTOFA POM-BENSIN PARK HOTEL 01.mov
CCTV BURANGRANG BPI 01,Jl. Burangrang No. 8,Burangrang,Lengkong,DISKOMINFO,Kamis,14:00,14.35 - 14.45,-,Tidak Beranomali,140810230043,CCTV BURANGRANG BPI 01.mp4
TAMAN TEGALEGA_12,Jl. Otto Iskandar Dinata,Karanganyar,Astanaanyar,DPKP3,Kamis,15:00,14.45 - 14.55,-,Tidak Beranomali,140810230043,TAMAN TEGALEGA_12.mov
CCTV JAMIKA_02,Jl. Siti Mariah,Jamika,Bojongloa Kaler,DISKOMINFO,Kamis,15:00,14.47 - 14.58,-,Tidak Beranomali,140810230043,CCTV JAMIKA_02.mp4
CCTV MARTANEGARA SATPOL PP 02,Jl. Martanegara,Turangga,Lengkong,DISKOMINFO,Kamis,15:00,14.54 - 15.05,CCTV Error Setiap 2 Menit,Tidak Berfungsi,140810230043,CCTV MARTANEGARA SATPOL PP 02.mov
CCTV ANTAPANI-DEPAN BORMA 01,Jl. Terusan Jakarta,Cicaheum,Antapani,DISKOMINFO,Kamis,15:00,15.00 - 15.13,-,Tidak Beranomali,140810230043,CCTV ANTAPANI-DEPAN BORMA 01.mp4
CCTV GATOT SUBROTO - TSM_02,Jl Gatot Subroto 289,Cibangkong,Batununggal,DISKOMINFO,Kamis,15:00,15.00 - 15.12,CCTV Buffering Selama 12 Menit di berbagai Device,Tidak Berfungsi,140810230043,CCTV GATOT SUBROTO - TSM_02.mov
CCTV JALAN RIAU-ASMTB 01,Jl. L. L. R.E. Martadinata No.93-95,Cimanuk,Bandung Wetan,DISKOMINFO,Kamis,15:00,15.14 - 15.29,-,Tidak Beranomali,140810230043,CCTV JALAN RIAU-ASMTB 01.mp4
CCTV JALAN CITARUM-PET PARK 02,Jl. Cilaki,Cihapit,Bandung Wetan,DISKOMINFO,Kamis,15:00,15:00 - 15:10,cctv buffering dan shuttering,Visual Kurang Jelas,140810230044,CCTV JALAN CITARUM-PET PARK 02.mp4
CCTV JL SOEKARNO HATTA-KPU 01,Jl. Soekarno-Hatta,Sekejati,Buahbatu,DISKOMINFO,Kamis,15:00,15:00 - 15:10,cctv buffering,Tidak Berfungsi,140810230044,CCTV JL SOEKARNO HATTA-KPU 01.mp4
CCTV DAGO 3-BORROMEUS 01,Jl. surya kencana,lebak gede,coblong,DISKOMINFO,Kamis,15:00,15:16 - 15:26,cctv buffering,Tidak Berfungsi,140810230044,CCTV JALAN DAGO 3-BORROMEUS 1.mp4
CCTV GASIBU_02,Jl. Diponegoro,Citarum,Bandung Wetan,DISKOMINFO,Kamis,16:00,16:00 - 16:10,cctv sedikit shuttering,Visual Kurang Jelas,140810230044,CCTV GASIBU_02.mp4
CCTV JL. ARCAMANIK 02,Jl. Arcamanik No. 2,Pasir Impun,Mandalajati,DISKOMINFO,Kamis,16:00,16:02 - 16:12,cctv error dan lag,Tidak Berjalan Normal,140810230044,CCTV JALAN ARCAMANIK 02.mov
CCTV TAMANSARI UNISBA 02,Jl. Tamansari No. 1,Tamansari,Bandung Wetan,DISKOMINFO,Kamis,16:00,16:13 - 16:25,cctv shuttering,Visual Kurang Jelas,140810230044,CCTV TAMANSARI UNISBA 02.mp4
CCTV MOH TOHA-RS SARTIKA ASIH 02,Jl. Moh Toha,Ciateul,Regol,DISKOMINFO,Kamis,16:00,16:14 - 16:24,cctv error,Tidak Berfungsi,140810230044,CCTV MOH TOHA-RS SARTIKA ASIH 02.mov
CCTV DAGO 3-BORROMEUS 01,Jl. surya kencana,lebak gede,coblong,DISKOMINFO,Kamis,16:00,16:25 - 16:35,cctv masih buffering,Tidak Berfungsi,140810230044,CCTV JALAN DAGO 3-BORROMEUS 1.mp4
CCTV PEREMPATAN KIRCON BINONG 01,Jl. Letnan Jendral Ibrahim Adjie,Binong,Batununggal,DISKOMINFO,Kamis,16:00,16:26 - 16:37,cctv shuttering dan terhalang kabel,Visual Kurang Jelas,140810230044,CCTV PEREMPATAN KIRCON BINONG 01.mp4
CCTV PERTIGAAN AH NASUTION-PASIR IMPUN 02,Jl. A.H. Nasution,Sukamiskin,Arcamanik,DISKOMINFO,Kamis,17:00,17:00 - 17:10,cctv buffering,Tidak Berfungsi,140810230044,CCTV PERTIGAAN AH NASUTION-PASIR IMPUN 02.mp4
CCTV PHH MUSTOFA-AMPERA 01,Jl. Penghulu Haji Hasan Mustopa,Neglasari,Cibeunying Kaler,DISKOMINFO,Kamis,17:00,17.03 - 17.13,cctv tertutup pohon,Terhalang Objek,140810230045,https://drive.google.com/file/d/129zssgC86KQTMqBmH8RLC2acD4amowiY/view?usp=drive_link
CCTV SIMPANG DAGO 02,Jl. Tubagus Ismail,Lebakgede,Coblong,DISKOMINFO,Kamis,17:00,17.46 - 17.56,-,Tidak Beranomali,140810230045,https://drive.google.com/file/d/14tFzJnt5xKp_waYPgybE6VsEx7WHTFCt/view?usp=drive_link
CCTV PASAR SEDERHANA 02,Jl. Sederhana,Pasteur,Sukajadi,DISKOMINFO,Kamis,17:00,17.51 - 18.01,cctv error diawal,Tidak Berfungsi,140810230045,https://drive.google.com/file/d/1WexwiLZrGnleXiyiwe7a2kV8toFoVino/view?usp=sharing
CCTV KEBON KAWUNG - PASKAL 02,Jl. Kesatriaan No.1,Arjuna,Cicendo,DISKOMINFO,Kamis,17:00,17.22 - 17.32,cctv error,Tidak Berfungsi,140810230045,https://drive.google.com/file/d/1MayY3jx0X5bUxUcgamkkN4T77GZtzsIs/view?usp=drive_link
CCTV ALUN-ALUN_01,Jl. Asia Afrika,Kebon Pisang,Regol,DISKOMINFO,Kamis,17:00,17.19 - 17.29,-,Tidak Beranomali,140810230045,https://drive.google.com/file/d/182zPU1aG-KPkN4b20wEjfpQWX_dUNQ7D/view
CCTV PASAR KOSAMBI 02,Jl. Jendral Ahmad Yani,Malabar,Lengkong,DISKOMINFO,Kamis,17:00,17.48 - 17.58,-,Tidak Beranomali,140810230045,https://drive.google.com/file/d/1q697W5_wS9P7aaGhlijU7pjaZ2X2KFDa/view?usp=drive_link
PARKIR CIHAPIT RIAU (PENGADILAN),Jl. L. L. Raden Eddy Martadinata,Cihapit,Bandung Wetan,DISHUB,Kamis,17:00,17.39 - 17.49,cctv tidak bisa diakses,Tidak Berfungsi,140810230045,CCTV Parkir cihapit riau (pengadilan) 17.00.mp4
CCTV ANTAPANI-DEPAN BORMA 02,Jl. Terusan Jakarta,Cicaheum,Antapani,DISKOMINFO,Kamis,17:00,17.36 - 17.47,cctv tidak bisa diakses,Tidak Berfungsi,140810230045,https://drive.google.com/file/d/18wK6YxjZuiE31YQyRgxHjnrenp3wnU4a/view
CCTV SOR ARCAMANIK-2,Jl. Arcamanik Endah,Sukamiskin,Arcamanik,DISKOMINFO,Kamis,17:00,17.28 - 17.38,-,Tidak Beranomali,140810230045,https://drive.google.com/file/d/1dj48U7YQ0TxI5XceMe1Z-cVbyf2ypop-/view?usp=drive_link
TAMAN CEMPAKA_02,Jl. Patra Komala,Merdeka,Sumur Bandung,DPKP3,Kamis,17:00,17.30 - 17.40,cctv error,Tidak Berfungsi,140810230045,TAMAN CEMPAKA_02.mp4
CCTV TAMAN SARI-DAYANG SUMBI 01,Jl. Dayang Sumbi,Lebak Siliwangi,Coblong,DISKOMINFO,Kamis,17:00,17:27 - 17 :37,cctv terkadang ngefreeze,Tidak Berjalan Normal,140810230046,CCTV TAMAN SARI-DAYANG SUMBI 01.mp4
CCTV CICABE_02,Jl. Abdul Haris Nasution,Cisarenten Endah,Arcamanik,DISKOMINFO,Kamis,18:00,18:00 - 18:10,cctv terhalangi pohon,Terhalang Objek,140810230046,CCTV CICABE_02.mp4
CCTV PER4AN DALEM KAUM-OTISTA 01,Jl. Otto Iskandarninata,Karanganyar,Subang,DISKOMINFO,Kamis,18:00,18:11 - 18:21,cctv ada sedikit ngefreeze,Tidak Berjalan Normal,140810230046,CCTV PER4AN DALEM KAUM-OTISTA 01.mp4
CCTV TEGALEGA_02,Jl. Otto Iskandardinata,Ciateul,Regol,DISKOMINFO,Kamis,18:00,18:21 - 18:31,-,Tidak Beranomali,140810230046,CCTV TEGALEGA_02.mp4
CCTV JL PURNAWARMAN BEC 01,Jl. Punawarman,Babakan Ciamis,Sumur Bandung,DISKOMINFO,Kamis,18:00,18:55 - 19:05,cctv tidak bisa diakses,Tidak Berfungsi,140810230046,CCTV JL PURNAWARMAN BEC 01.mp4
TM PET PARK_04,Jl. Ciliwung,Cihapit,Bandung Wetan,DPKP3,Kamis,18:00,18:44 - 18:54,cctv tidak bisa diakses,Tidak Berfungsi,140810230046,TM PET PARK_04.mp4
CCTV KIRCON_01,Jl. Letnan Jendral Ibrahim Adjie,Babakan Sari,Kiaracondong,DISKOMINFO,Kamis,18:00,18:33 - 18:43,cctv tidak begitu jernih dan ada pohon yang membuat tidak bisa melihat keseluruhan jalan,Terhalang Objek,140810230046,CCTV KIRCON_01.mp4
TB JL. SUKAMULYA,Jl. Sukamulya Indah,Sukagalih,Sukajadi,DPU,Kamis,19:00,19:49 - 19:59,cctv tidak bisa diakses,Tidak Berfungsi,140810230046,TB JL. SUKAMULYA.mp4
CCTV MERDEKA-JAWA 02,Jl.Merdeka,Babakan Ciamis,Sumur Bandung,DISKOMINFO,Kamis,19:00,19:06 - 19:16,-,Tidak Beranomali,140810230046,CCTV MERDEKA-JAWA 02.mp4
CCTV DEPAN TERMINAL CICAHEUM 02,Jl. A. Yani,Pasirlayung,Kiaracondong,DISKOMINFO,Kamis,19:00,19:38 - 19:48,cctv terhalangi pohon,Terhalang Objek,140810230046,CCTV DEPAN TERMINAL CICAHEUM 02.mp4
CCTV SIMPANG DAGO 02,Jl. Tubagus Ismail,Lebakgede,Coblong,DISKOMINFO,Kamis,19:00,19:02-19:12,"cctv kadang jadi burem, kehalang ama kabel listrik",Visual Kurang Jelas,140810230047,https://drive.google.com/file/d/1G1y4wcyr1v9bLsCQ394Y_XV3AaXdGLr9/view?usp=drive_link
CCTV SOEKARNO HATTA-GEDEBAGE 01,Jl. Soekarno Hatta,Cisaranten Kidul,Gedebage,DISKOMINFO,Kamis,19:00,19:00-19:10,cctv buffering,Tidak Berfungsi,140810230047,https://drive.google.com/file/d/1G1y4wcyr1v9bLsCQ394Y_XV3AaXdGLr9/view?usp=drive_link
CCTV CICADAS - CIKUTRA 02,Jl. Jenderal Ahmad Yani,Cikutra,Cibeunying Kidul,DISKOMINFO,Kamis,19:00,19.40 - 19.50,"cctv burem, kehalang kabel",Visual Kurang Jelas,140810230047,https://drive.google.com/file/d/1G1y4wcyr1v9bLsCQ394Y_XV3AaXdGLr9/view?usp=drive_link
CCTV PHH MUSTOFA POM-BENSIN PARK HOTEL 01,Jl. Penghulu Haji Hasan Mustopa,Neglasari,Cibeunying Kaler,DISKOMINFO,Kamis,19:00,19.53 - 20.03,cctv terkadang ngefreeze,Tidak Berjalan Normal,140810230047,https://drive.google.com/file/d/1G1y4wcyr1v9bLsCQ394Y_XV3AaXdGLr9/view?usp=drive_link
CCTV CIMINDI-SUKARAJA_02,gang haji juariah/Jl. gunung batu,karangmerah,cimahi tengah,DISKOMINFO,Kamis,20:00,20.00 - 20.10,"burem, ketutup pohon, ngefreeze",Visual Kurang Jelas,140810230047,https://drive.google.com/file/d/1G1y4wcyr1v9bLsCQ394Y_XV3AaXdGLr9/view?usp=drive_link
TAMAN TONGKENG_02,Jl. Tongkeng,Merdeka,Sumur Bandung,DPKP3,Kamis,20:00,20.10 - 20.20,cctv tidak bisa diakses,Tidak Berfungsi,140810230047,https://drive.google.com/file/d/1G1y4wcyr1v9bLsCQ394Y_XV3AaXdGLr9/view?usp=drive_link
CCTV JL WAAS BATUNUNGGAL 01,Jl. WAAS NO 1,Batununggal,Bandung kidul,DISKOMINFO,Kamis,20:00,20.20 - 20.30,cctv kehalang oleh kabel,Terhalang Objek,140810230047,https://drive.google.com/file/d/1G1y4wcyr1v9bLsCQ394Y_XV3AaXdGLr9/view?usp=drive_link
CCTV PASTEUR-PASOPATI_01,Jl. Doktor Louis Pasteur,Pasteur,Sukajadi,DISKOMINFO,Kamis,20:00,20.30 - 20.40,"cctvn terhalang pohon, ngfreeze",Terhalang Objek,140810230047,https://drive.google.com/file/d/1G1y4wcyr1v9bLsCQ394Y_XV3AaXdGLr9/view?usp=drive_link
CCTV CICADAS - CIKUTRA 01,Jl. Jenderal Ahmad Yani,Cikutra,Cibeunying Kidul,DISKOMINFO,Kamis,20:00,20.40 - 20.50,-,Tidak Beranomali,140810230047,https://drive.google.com/file/d/1G1y4wcyr1v9bLsCQ394Y_XV3AaXdGLr9/view?usp=drive_link
CCTV JL ASIA AFRIKA BRI TOWER 03,Jl. Asia Afrika,Banceuy,Sumur Bandung,DISKOMINFO,Kamis,20:00,20.50 - 21.00,-,Tidak Beranomali,140810230047,https://drive.google.com/file/d/1G1y4wcyr1v9bLsCQ394Y_XV3AaXdGLr9/view?usp=drive_link
CCTV CIJERAH PAL TILU 01,Jl. Jend Sudirman,Cijerah,Bandung Kulon,DISKOMINFO,Kamis,20:00,20.02 - 20.13,-,Tidak Beranomali,140810230048,https://drive.google.com/file/d/1ifPMmOpPEbFttpIVdBLbMdW_Y8ZE7m51/view?usp=drive_link
LOBBY PDAM TIRTAWENING,Jl. Siliwangi no. 1,-,Kuningan,PDAM,Kamis,20:00,20.15 -20.25,CCTV Tanggal 2023,Salah Timestamp,140810230048,https://drive.google.com/file/d/12kW_8j4xZQYvqY0YXjFscVxQ9Q89wDRW/view?usp=sharing
CCTV JL. RE. MARTADINATA-PAVILJOEN 01,Jl. L. L. R.E. Martadinata No.68,Citarum,Bandung Wetan,DISKOMINFO,Kamis,20:00,20.26 - 20. 35,-,Tidak Beranomali,140810230048,https://drive.google.com/file/d/18B8hmsjOaRURxOiLEodhVoMKUotgYrLm/view?usp=sharing
CCTV JL TUBAGUS ISMAIL 01,Jl. TUBAGUS ISMAIL 01,Sekeloa,Coblong,DISKOMINFO,Kamis,20:00,20.37 - 20.46,-,Tidak Beranomali,140810230048,https://drive.google.com/file/d/1sQKfuu7x7Qd8dQ0-uh1GKU2NAaOBi8Ob/view?usp=sharing
CCTV GASIBU_01,Jl. Diponegoro,Citarum,Bandung Wetan,DISKOMINFO,Kamis,20:00,20.48 - 20.57,Tidak ada rekaman,Tidak Berfungsi,140810230048,https://drive.google.com/file/d/1ZOS2l24vli8StPDeJ7iUdWRpJPSP6Dmu/view?usp=sharing
CCTV ITB KEBUN BINATANG 02,Jl. Ganesa,Siliwangi,Coblong,DISKOMINFO,Kamis,21:00,21.04 - 21.13,Tidak ada rekaman,Tidak Berfungsi,140810230048,https://drive.google.com/file/d/1_F5Do03IM7Vdr_vCz9uDw8I2KGM63a1T/view?usp=sharing
CCTV PAGARSIH 02,Jl. Pagarsih Barat,Cibadak,Astanaanyar,DISKOMINFO,Kamis,21:00,21.15 - 21.24,Tertutup Pohon,Terhalang Objek,140810230048,https://drive.google.com/file/d/1o865g21hcg0zelpRIs74mMy47GiHY7nE/view?usp=sharing
CCTV CIJERAH PAL TILU 02,Jl. Jend Sudirman,Cijerah,Bandung Kulon,DISKOMINFO,Kamis,21:00,21.25 - 21.34,-,Tidak Beranomali,140810230048,https://drive.google.com/file/d/1Eve8AanSPuFvhw69EmFhcRVi-tM1vSHK/view?usp=sharing
TB JL. CIKUTRA,Jl. Cikutra,Neglasari,Cibeunying Kidul,DPU,Kamis,21:00,21.36 - 21.44,-,Tidak Beranomali,140810230048,https://drive.google.com/file/d/10zal45m4fZ9vdIe14wtE17SdBZQ5Dzpz/view?usp=sharing
TAMAN ANGGREK_02,Jl. Anggrek,Cihapit,Bandung Wetan,DPKP3,Kamis,21:00,21.25 - 21.55,Tidak ada rekaman,Tidak Berfungsi,140810230048,https://drive.google.com/file/d/12HZDeTA4AS_i-umNWyOudm4Z-gsHMhIN/view?usp=sharing
CCTV JL. PUNGKUR-PASUNDAN 02,Jl. Pungkur,Pungkur,Regol,DISKOMINFO,Kamis,21:00,21:03 - 21:13,Freeze dan berhenti sendiri,Tidak Berjalan Normal,140810230049,https://drive.google.com/file/d/1IBm6ukyixL5Z7ZOBi1IaAipMarVaJSti/view?usp=drive_link
CCTV SUKAJADI SUKAGALIH 02,Jl. Sukajadi,Sukabungah,Sukajadi,DISKOMINFO,Kamis,21:00,21:03 - 21:13,Freeze dan berhenti sendiri,Tidak Berjalan Normal,140810230049,https://drive.google.com/file/d/1Kbb13mPUyjYtZryWK6Ng4nA3D3W94OaT/view?usp=drive_link
CCTV JL SUKAJADI PVJ 02,Jl. Sukajadi,Cipedes,Sukajadi,DISKOMINFO,Kamis,21:00,21:26 - 21:26,Buffer setelah beberapa menit,Tidak Berfungsi,140810230049,https://drive.google.com/file/d/1cHcDdHsYdReFkBrVLdEy1vZJbkZa6UI_/view?usp=drive_link
TAMAN SKETPARK_03,Jl. BKR nomor 181,Pelindung Hewan,Astanaanyar,DPKP3,Kamis,22:00,22:03 - 22:13,Sering Freeze dan Buffering,Tidak Berjalan Normal,140810230049,https://drive.google.com/file/d/1Rlr8dPQv2DkzAzuPntIwC90yEGvVUC1R/view?usp=drive_link
CCTV HUSEIN 03 - ST HALTE,Jl. Pajajaran,Husen Sastranegara,Cicendo,DISKOMINFO,Kamis,22:00,22:03 - 22:13,-,Tidak Beranomali,140810230049,https://drive.google.com/file/d/1P52awqiOGxLs5hi7jELVfK77q1AJxSu0/view?usp=drive_link
CCTV FLY OVER CIMINDI-JL. BUDI 01,Jl. Budi,Sukaraja,Cicendo,DISKOMINFO,Kamis,22:00,22:17 - 22:27,-,Tidak Beranomali,140810230049,https://drive.google.com/file/d/1sxa9jyZX-J-RDjEAdROnNLxD_YH_4RqT/view?usp=drive_link
CCTV JALAN GARUT-KPU PROV 02,Jl. Garut,Kacapiring,Batununggal,DISKOMINFO,Kamis,22:00,22:17 - 22:27,Hanya muncul warna putih,Tidak Berfungsi,140810230049,https://drive.google.com/file/d/1mnvkH2HHlkLTEVEwjESaWXti7CplR5Ag/view?usp=drive_link
CCTV PERTIGAAN AH NASUTION-CIJAMBE 01,Jl. A.H. Nasution,Cisantren Bina Harapan,Arcamanik,DISKOMINFO,Kamis,22:00,22:30 - 22:40,Sering Freeze dan Buffering,Tidak Berjalan Normal,140810230049,https://drive.google.com/file/d/1XV6GWzuipXLaRStqdvXCwS8v--p09ZsF/view?usp=drive_link
CCTV SUKAJADI SUKAGALIH 01,Jl. Sukagalih,Cipedes,Ujung Berung,DISKOMINFO,Kamis,22:00,22:30 - 22:40,Freeze setelah beberapa menit,Tidak Berjalan Normal,140810230049,https://drive.google.com/file/d/1isH7zHeWq08OoYPXrLaShytvZ82uUyX_/view?usp=drive_link
TAMAN PASUPATI_01,Jl. Tamansari No.66,Lb. Siliwangi,Coblong,DPKP3,Kamis,22:00,22:44 - 22:54,Sedikit terhalangi objek dekat kamera,Terhalang Objek,140810230049,https://drive.google.com/file/d/1flO6l3t3VSTzF5KkZ4r237sLDTvK2PYt/view?usp=drive_link
CCTV TEGALEGA_02,Jl. Otto Iskandardinata,Ciateul,Regol,DISKOMINFO,Kamis,22:00,00:37 - 00:44,-,Tidak Beranomali,140810230050,https://drive.google.com/drive/folders/1tMFqS8FYFZTWK9KyaMFhYNzYL7ZqJ-TT?usp=drive_link
CCTV JL. SURAPATI - GASIBU 02,Jl. Layang Pasupati,Lebakgede,Coblong,DISKOMINFO,Kamis,22:00,00:46 - 00:56,-,Tidak Beranomali,140810230050,https://drive.google.com/drive/folders/10l60hF-4zc2_7-Uq6qrPyWCWbIl1atik?usp=drive_link
CCTV DEPAN RSUD UJUNG BERUNG 02,Jl. Rumah Sakit,Pakemitan,Cinambo,DISKOMINFO,Jumat,06:00,06:00 - 06:10,-,Tidak Beranomali,140810230050,https://drive.google.com/drive/folders/12V5Rewh27wi8pJ90NK_6v26fCt8K0wNv?usp=drive_link
CCTV PER3AN SOEKARNO-ASIA AFRIKA 01,Jl. Asia Afrika,Balonggede,Regol,DISKOMINFO,Jumat,06:00,06:14 - 06:24,CCTV tidak bisa diakses,Tidak Berfungsi,140810230050,https://drive.google.com/drive/folders/1dTuvJ4hQqtktxxCdwSWAHnCJPxJ2m3kV?usp=drive_link
CCTV CIHAMPELAS-GANDOK 02,Jl. Cihampelas,Hegarmanah,Cidadap,DISKOMINFO,Jumat,06:00,06:15 - 06:30,-,Tidak Beranomali,140810230050,https://drive.google.com/drive/folders/1q9VgcjiZ1hkVbgqgREui9AAvni_1XFx4?usp=drive_link
CCTV JALAN GARUT-KPU PROV 02,Jl. Garut,Kacapiring,Batununggal,DISKOMINFO,Jumat,07:00,07:45 - 07:55,CCTV tidak bisa diakses,Tidak Berfungsi,140810230050,https://drive.google.com/drive/folders/1sVBsZSx5VhIKMYHImSPr9HHYVUih3knn?usp=drive_link
CCTV CIMINDI-KHARISMA_02,Jl. Jend H. Amir Machmud,cigugur tengah,cimahi tengah,DISKOMINFO,Jumat,07:00,07:00 - 07:10,-,Tidak Beranomali,140810230050,https://drive.google.com/drive/folders/1iSgwGMF49IF8uPSwHZ7gkQ7xChz7SpDF?usp=drive_link
TAMAN CEMPAKA_03,Jl. Patra Komala,Merdeka,Sumur Bandung,DPKP3,Jumat,07:00,07:12 - 07:22,CCTV tidak bisa diakses,Tidak Berfungsi,140810230050,https://drive.google.com/drive/folders/1U8v2VyeshVXtKZhI3gzyr-IkipXl8UuA?usp=drive_link
